City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hervey Bay,AU,2021-06-03 18:36:21,-25.2986,152.8535,64.02,87,100,5.01
68,Bathsheba,BB,2021-06-03 18:36:21,13.2167,-59.5167,86.61,54,40,16.89
69,Alice Springs,AU,2021-06-03 18:31:48,-23.7,133.8833,51.35,71,100,9.89
70,Pangoa,PE,2021-06-03 18:36:22,-12.1167,-73.0,74.91,91,100,1.77
71,Bluff,NZ,2021-06-03 18:36:22,-46.6,168.3333,49.8,84,100,10.89
72,Georgetown,MY,2021-06-03 18:33:06,5.4112,100.3354,81.9,87,20,3.0
73,Coronado,US,2021-06-03 18:36:23,32.6859,-117.1831,91.47,74,90,8.05
74,East London,ZA,2021-06-03 18:35:17,-33.0153,27.9116,59.94,67,40,4.61
75,Kota Kinabalu,MY,2021-06-03 18:36:23,5.9749,116.0724,80.58,89,20,4.61
76,Lujiang,CN,2021-06-03 18:36:23,31.2581,117.2817,66.96,86,100,2.68
77,Balkhash,KZ,2021-06-03 18:36:24,46.844,74.9804,72.21,55,12,6.53
78,Riyadh,SA,2021-06-03 18:33:17,24.6877,46.7219,100.45,9,0,6.91
79,Puerto Ayora,EC,2021-06-03 18:36:25,-0.7393,-90.3518,78.76,85,29,7.0
80,Asau,RO,2021-06-03 18:34:54,46.4333,26.4,56.32,89,100,5.08
81,Tasiilaq,GL,2021-06-03 18:36:25,65.6145,-37.6368,41.16,80,51,5.75
82,Kimberley,ZA,2021-06-03 18:36:25,-28.7323,24.7623,42.49,61,0,9.22
83,Curup,ID,2021-06-03 18:36:26,-3.4667,102.5333,70.59,99,93,1.32
84,Rocha,UY,2021-06-03 18:32:27,-34.4833,-54.3333,58.5,60,20,7.02
85,Kamenka,RU,2021-06-03 18:36:26,51.3223,42.7678,53.11,88,100,7.63
86,Alice Town,BS,2021-06-03 18:36:27,25.7167,-79.3,79.86,77,2,17.25
87,Kodiak,US,2021-06-03 18:36:27,57.79,-152.4072,47.71,81,90,4.61
88,Kasulu,TZ,2021-06-03 18:36:27,-4.5767,30.1025,66.56,79,100,0.69
89,Punta Arenas,CL,2021-06-03 18:36:28,-53.15,-70.9167,37.42,93,90,9.69
90,Rikitea,PF,2021-06-03 18:35:10,-23.1203,-134.9692,72.66,68,100,14.94
91,Atbasar,KZ,2021-06-03 18:36:29,51.8,68.3333,63.72,49,11,6.44
92,Fayaoue,NC,2021-06-03 18:36:29,-20.65,166.5333,74.53,60,86,12.66
