City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pangody,RU,65.85,74.4859,58.01,74,100,16.6,overcast clouds
80,Lincoln,US,40.8,-96.667,70.79,73,65,8.34,broken clouds
81,Henties Bay,NA,-22.116,14.2845,55.85,78,36,7.05,scattered clouds
82,Brindisi,IT,40.5833,17.6667,71.8,51,98,7.45,overcast clouds
83,Kidal,ML,18.4411,1.4078,89.98,21,1,9.51,clear sky
84,San Benito,US,36.6166,-121.0844,54.14,61,23,4.68,few clouds
85,Trairi,BR,-3.2778,-39.2689,74.44,92,43,6.69,scattered clouds
86,Kavieng,PG,-2.5744,150.7967,83.39,74,15,13.18,light rain
87,Pappadatai,GR,39.3133,20.7925,68.7,64,69,2.84,broken clouds
88,Hermanus,ZA,-34.4187,19.2345,54.9,67,99,1.74,overcast clouds
89,Khatanga,RU,71.9667,102.5,46.13,47,100,2.73,overcast clouds
90,Cherskiy,RU,68.75,161.3,49.5,47,11,10.51,few clouds
91,Barrow,US,71.2906,-156.7887,30.22,86,90,6.91,fog
92,Lashio,MM,22.9333,97.75,70.75,98,100,1.03,overcast clouds
93,La Ronge,CA,55.1001,-105.2842,53.82,100,90,5.75,overcast clouds
94,Baykit,RU,61.67,96.37,59.65,45,98,12.39,overcast clouds
95,Denia,ES,38.8408,0.1057,75.85,63,8,3.0,clear sky
96,Nelson Bay,AU,-32.7167,152.15,63.0,58,1,3.0,clear sky
97,San Jeronimo,PE,-11.9472,-75.2829,49.33,78,96,2.35,overcast clouds
98,Kapaa,US,22.0752,-159.319,80.58,74,13,4.0,light rain
99,Georgetown,MY,5.4112,100.3354,89.53,70,20,8.05,few clouds
100,Narsaq,GL,60.9167,-46.05,43.02,86,96,3.44,overcast clouds
101,Sai Buri,TH,6.7013,101.6168,81.27,74,100,7.9,overcast clouds
102,Veraval,IN,20.9,70.3667,88.38,71,18,14.83,few clouds
103,Timra,SE,62.487,17.3257,58.71,96,75,6.91,broken clouds
104,Muriti,TZ,-1.9833,32.9167,73.02,62,54,12.15,broken clouds
105,Dalianwan,CN,39.0286,121.695,68.04,83,79,13.42,broken clouds
106,Haimen,CN,23.1935,116.6142,84.09,78,92,12.95,moderate rain
107,Batagay,RU,67.6333,134.6333,65.32,35,100,14.94,overcast clouds
108,College,US,64.8569,-147.8028,65.59,58,75,3.44,broken clouds
109,Jamestown,US,42.097,-79.2353,64.04,100,75,6.91,broken clouds
