City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Bubaque,GW,80.24,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
241,Grand Gaube,MU,77.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
245,Pasighat,IN,79.63,overcast clouds,28.0667,95.3333,Siang Guest House
247,Biak,ID,81.91,light rain,-0.9131,122.8766,Penginapan Kim
250,Bandarbeyla,SO,87.06,broken clouds,9.4942,50.8122,JABIR HOTEL
263,Alihe,CN,85.95,clear sky,50.5667,123.7167,Alihe Forestry Hotel
269,Galesong,ID,86.02,moderate rain,-5.3166,119.3661,Sapriadi Appy
275,Saint-Georges,GD,78.66,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
276,Palagiano,IT,77.49,overcast clouds,40.5782,17.0374,Casa Alice
278,Saint George,US,76.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
285,Moussoro,TD,93.92,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
286,Bilaspur,IN,94.48,scattered clouds,22.0833,82.15,Hotel East Park
287,Ushtobe,KZ,75.85,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
293,Havelock,US,78.75,broken clouds,34.8791,-76.9013,Sherwood Motel
294,Vinh,VN,81.43,very heavy rain,18.6667,105.6667,Khách Sạn Thương Mại
298,Faanui,PF,78.4,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Eyl,SO,86.23,broken clouds,7.9803,49.8164,Amiin Hotel
301,Arlit,NE,90.7,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
303,Auki,SB,82.78,scattered clouds,-8.7676,160.7034,Auki Motel
308,Xiaoweizhai,CN,83.75,broken clouds,26.1903,107.5125,Karst Youth Hostel
314,Copala,MX,77.27,overcast clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
315,Buala,SB,82.9,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
321,Oranjestad,AW,79.9,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
323,Baruun-Urt,MN,78.98,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
325,Sabang,ID,83.48,light rain,5.8933,95.3214,Hotel Citra
326,Sogod,PH,79.21,overcast clouds,10.3847,124.9814,GV Tower Hotel - Sogod
327,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
328,Ende,ID,80.69,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
330,Kupang,ID,88.38,haze,-10.1667,123.5833,Hotel On The Rock by Prasanthi
331,Saint-Philippe,RE,76.48,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
333,Tabuk,PH,92.7,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
334,Bogalusa,US,81.7,clear sky,30.791,-89.8487,Traveler's Rest Motel
338,Sulangan,PH,79.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
339,Abonnema,NG,75.04,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
341,Namatanai,PG,84.87,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
347,Sabzevar,IR,90.99,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
357,Wanning,CN,79.97,overcast clouds,18.8003,110.3967,Paradise Hotel
358,Ganzhou,CN,90.5,heavy intensity rain,28.8184,115.4327,Laotou Farm Restaurant Hostel
359,Deming,US,75.38,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
360,Georgiyevka,KZ,84.24,clear sky,43.0369,74.7114,Gostinitsa Imperiya
362,Jiujiang,CN,92.14,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
363,Salalah,OM,87.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
369,Kavaratti,IN,84.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
375,San Patricio,US,82.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
381,Mandalgovi,MN,77.29,broken clouds,45.7625,106.2708,В.Ганбат
383,Lianran,CN,75.52,overcast clouds,24.9227,102.485,半岛酒店
390,Kerman,IR,94.86,clear sky,30.2832,57.0788,هتل آپارتمان آسام
393,Ust-Tsilma,RU,78.85,overcast clouds,65.441,52.1498,U Praskov'i
397,Ewo,CG,76.84,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
399,Kisangani,CD,75.83,broken clouds,0.5167,25.2,Grand Ramela Hotel
400,Kampong Thum,KH,76.15,light rain,12.7111,104.8887,Sambor Village Hotel
412,Padang,ID,85.95,broken clouds,-0.9492,100.3543,Mercure Padang
413,Alice Springs,AU,76.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
416,Mayumba,GA,75.81,light rain,-3.432,10.6554,LIKWALE LODGE
420,Araceli,PH,84.85,light rain,10.5529,119.9913,JBryan Traveler's Inn
425,Turan,VN,80.58,moderate rain,16.0678,108.2208,Sun River Hotel
426,Chiang Klang,TH,79.5,overcast clouds,19.2938,100.8617,Sangthong Resort
431,Ugoofaaru,MV,83.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
